WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
DEBUG__main__:HYPERPARAMS
n_neurons_hl1 = 32
n_neurons_hl2 = 32
discount = 0.99
learning_rate = 1e-05
DEBUG__main__:EP	reward	info
DEBUG__main__:299	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:300	-78.0	Max steps 100 reached per episodes.
DEBUG__main__:301	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:302	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:303	-71.0	Max steps 100 reached per episodes.
DEBUG__main__:304	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:305	-79.5	Max steps 100 reached per episodes.
DEBUG__main__:306	-78.5	Max steps 100 reached per episodes.
DEBUG__main__:307	-72.0	Max steps 100 reached per episodes.
DEBUG__main__:308	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:309	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:310	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:311	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:312	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:313	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:314	-73.0	Max steps 100 reached per episodes.
DEBUG__main__:315	-173.5	Episode @step 97 with distance: 0.0889
DEBUG__main__:316	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:317	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:318	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:319	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:320	-80.0	Max steps 100 reached per episodes.
DEBUG__main__:321	-73.5	Max steps 100 reached per episodes.
